"","Draw","To","Artist","Song","Language","Place","Points","Year","Type"
"62",9,"Cyprus","christos mylordos","""San aggelos s'agapisa"" (Σαν άγγελος σ'αγάπησα)","Greek",18,16,2011,"sf2"
"63",10,"Bulgaria","poli genova","""Na inat"" (На инат)","Bulgarian",12,48,2011,"sf2"
"64",11,"Macedonia","vlatko ilievski","""Rusinka"" (Русинка)","Macedonian, English",16,36,2011,"sf2"
"65",12,"Israel","dana international","""Ding Dong""","Hebrew, English",15,38,2011,"sf2"
"66",13,"Slovenia","maja keuc","""No One""","English",3,112,2011,"sf2"
"67",14,"Romania","hotel fm","""Change""","English",4,111,2011,"sf2"
"68",15,"Estonia","getter jaani","""Rockefeller Street""","English",9,60,2011,"sf2"
"69",16,"Belarus","anastasia vinnikova","""I Love Belarus""","English",14,45,2011,"sf2"
"70",17,"Latvia","musiqq","""Angel in Disguise""","English",17,25,2011,"sf2"
"71",18,"Denmark","a friend in london","""New Tomorrow""","English",2,135,2011,"sf2"
"72",19,"Ireland","jedward","""Lipstick""","English",8,68,2011,"sf2"
"73",1,"Austria","natalia kelly","""Shine""","English",14,27,2013,"sf1"
"74",2,"Estonia","birgit","""Et uus saaks alguse""","Estonian",10,52,2013,"sf1"
"75",3,"Slovenia","hannah","""Straight Into Love""","English",16,8,2013,"sf1"
"76",4,"Croatia","klapa s mora","""Mižerja""","Croatian",13,38,2013,"sf1"
"77",5,"Denmark","emmelie de forest","""Only Teardrops""","English",1,167,2013,"sf1"
"78",6,"Russia","dina garipova","""What If""","English",2,156,2013,"sf1"
"79",7,"Ukraine","zlata ognevich","""Gravity""","English",3,140,2013,"sf1"
"80",8,"Netherlands","anouk","""Birds""","English",6,75,2013,"sf1"
"81",9,"Montenegro","who see","""Igranka"" (Игранка)","Montenegrin",12,41,2013,"sf1"
"82",10,"Lithuania","andrius pojavis","""Something""","English",9,53,2013,"sf1"
"83",11,"Belarus","alyona lanskaya","""Solayoh""","English",7,64,2013,"sf1"
"84",12,"Moldova","aliona moon","""O mie""","Romanian",4,95,2013,"sf1"
"85",13,"Ireland","ryan dolan","""Only Love Survives""","English",8,54,2013,"sf1"
"86",14,"Cyprus","despina olympiou","""An me thimasai"" (Aν με θυμάσαι)","Greek",15,11,2013,"sf1"
"87",15,"Belgium","roberto bellarosa","""Love Kills""","English",5,75,2013,"sf1"
"88",16,"Serbia","moje 3","""Ljubav je svuda"" (Љубав је свуда)","Serbian",11,46,2013,"sf1"
"89",1,"Latvia","per","""Here We Go""","English",17,13,2013,"sf2"
"90",2,"San Marino","valentina monetta","""Crisalide (Vola)""","Italian",11,47,2013,"sf2"
"91",3,"Macedonia","esma & lozano","""Pred da se razdeni"" (Пред да се раздени)","Macedonian, Romani",16,28,2013,"sf2"
"92",4,"Azerbaijan","farid mammadov","""Hold Me""","English",1,139,2013,"sf2"
"93",5,"Finland","krista siegfrids","""Marry Me""","English",9,64,2013,"sf2"
"94",6,"Malta","gianluca","""Tomorrow""","English",4,118,2013,"sf2"
"95",7,"Bulgaria","elitsa todorova & stoyan yankoulov","""Samo shampioni"" (Само шампиони)","Bulgarian",12,45,2013,"sf2"
"96",8,"Iceland","eythor ingi","""Ég á líf""","Icelandic",6,72,2013,"sf2"
"97",9,"Greece","koza mostra feat. agathon iakovidis","""Alcohol Is Free""","Greek1",2,121,2013,"sf2"
"98",10,"Israel","moran mazor","""Rak Bishvilo"" (רק בשבילו)","Hebrew",14,40,2013,"sf2"
"99",11,"Armenia","dorians","""Lonely Planet""","English",7,69,2013,"sf2"
"100",12,"Hungary","byealex","""Kedvesem"" (Zoohacker Remix)","Hungarian",8,66,2013,"sf2"
"101",13,"Norway","margaret berger","""I Feed You My Love""","English",3,120,2013,"sf2"
"102",14,"Albania","adrian lulgjuraj & bledar sejko","""Identitet""","Albanian",15,31,2013,"sf2"
"103",15,"Georgia","nodi tatishvili & sophie gelovani","""Waterfall""","English",10,63,2013,"sf2"
"104",16,"Switzerland","takasa","""You and Me""","English",13,41,2013,"sf2"
"105",17,"Romania","cezar","""It's My Life""","English",5,83,2013,"sf2"
"106",1,"Armenia","aram mp3","""Not Alone""","English",4,121,2014,"sf1"
"107",2,"Latvia","aarzemnieki","""Cake to Bake""","English1",13,33,2014,"sf1"
"108",3,"Estonia","tanja","""Amazing""","English",12,36,2014,"sf1"
"109",4,"Sweden","sanna nielsen","""Undo""","English",2,131,2014,"sf1"
"110",5,"Iceland","pollaponk","""No Prejudice""","English",8,61,2014,"sf1"
"111",6,"Albania","hersi","""One Night's Anger""","English",15,22,2014,"sf1"
"112",7,"Russia","tolmachevy sisters","""Shine""","English",6,63,2014,"sf1"
"113",8,"Azerbaijan","dilara kazimova","""Start a Fire""","English",9,57,2014,"sf1"
"114",9,"Ukraine","mariya yaremchuk","""Tick-Tock""","English",5,118,2014,"sf1"
"115",10,"Belgium","axel hirsoux","""Mother""","English",14,28,2014,"sf1"
"116",11,"Moldova","cristina scarlat","""Wild Soul""","English",16,13,2014,"sf1"
"117",12,"San Marino","valentina monetta","""Maybe""","English",10,40,2014,"sf1"
"118",13,"Portugal","suzy","""Quero ser tua""","Portuguese",11,39,2014,"sf1"
"119",14,"Netherlands","the common linnets","""Calm After the Storm""","English",1,150,2014,"sf1"
"120",15,"Montenegro","sergej cetkovic","""Moj svijet"" (Мој свијет)","Montenegrin",7,63,2014,"sf1"
"121",16,"Hungary","andras kallay-saunders","""Running""","English",3,127,2014,"sf1"
"122",1,"Malta","firelight","""Coming Home""","English",9,63,2014,"sf2"
"123",2,"Israel","mei finegold","""Same Heart""","English, Hebrew",14,19,2014,"sf2"
"124",3,"Norway","carl espen","""Silent Storm""","English",6,77,2014,"sf2"
"125",4,"Georgia","the shin & mariko","""Three Minutes to Earth""","English",15,15,2014,"sf2"
"126",5,"Poland","donatan & cleo","""My Słowianie – We Are Slavic""","Polish, English",8,70,2014,"sf2"
"127",6,"Austria","conchita wurst","""Rise Like a Phoenix""","English",1,169,2014,"sf2"
"128",7,"Lithuania","vilija","""Attention""","English",11,36,2014,"sf2"
"129",8,"Finland","softengine","""Something Better""","English",3,97,2014,"sf2"
"130",9,"Ireland","can-linn feat. kasey smith","""Heartbeat""","English",12,35,2014,"sf2"
"131",10,"Belarus","teo","""Cheesecake""","English",5,87,2014,"sf2"
"132",11,"Macedonia","tijana","""To the Sky""","English",13,33,2014,"sf2"
"133",12,"Switzerland","sebalter","""Hunter of Stars""","English",4,92,2014,"sf2"
"134",13,"Greece","freaky fortune feat. riskykidd","""Rise Up""","English",7,74,2014,"sf2"
"135",14,"Slovenia","tinkara kovac","""Round and Round""","English, Slovene",10,52,2014,"sf2"
"136",15,"Romania","paula seling & ovi","""Miracle""","English",2,125,2014,"sf2"
"137",1,"Moldova","eduard romanyuta","""I Want Your Love""","English",11,41,2015,"sf1"
"138",2,"Armenia","genealogy","""Face the Shadow""","English",7,77,2015,"sf1"
"139",3,"Belgium","loic nottet","""Rhythm Inside""","English",2,149,2015,"sf1"
"140",4,"Netherlands","trijntje oosterhuis","""Walk Along""","English",14,33,2015,"sf1"
"141",5,"Finland","pertti kurikan nimipaivat","""Aina mun pitää""","Finnish",16,13,2015,"sf1"
"142",6,"Greece","maria elena kyriakou","""One Last Breath""","English",6,81,2015,"sf1"
"143",7,"Estonia","elina born & stig rasta","""Goodbye to Yesterday""","English",3,105,2015,"sf1"
"144",8,"Macedonia","daniel kajmakoski","""Autumn Leaves""","English",15,28,2015,"sf1"
"145",9,"Serbia","bojana stamenov","""Beauty Never Lies""","English",9,63,2015,"sf1"
"146",10,"Hungary","boggie","""Wars for Nothing""","English",8,67,2015,"sf1"
"147",11,"Belarus","uzari & maimuna","""Time""","English",12,39,2015,"sf1"
"148",12,"Russia","polina gagarina","""A Million Voices""","English",1,182,2015,"sf1"
"149",13,"Denmark","anti social media","""The Way You Are""","English",13,33,2015,"sf1"
"150",14,"Albania","elhaida dani","""I'm Alive""","English",10,62,2015,"sf1"
"151",15,"Romania","voltaj","""De la capăt""","Romanian, English",5,89,2015,"sf1"
"152",16,"Georgia","nina sublatti","""Warrior""","English",4,98,2015,"sf1"
"153",1,"Lithuania","monika linkyte & vaidas baumila","""This Time""","English",7,67,2015,"sf2"
"154",2,"Ireland","molly sterling","""Playing with Numbers""","English",12,35,2015,"sf2"
"155",3,"San Marino","anita simoncini & michele perniola","""Chain of Lights""","English",16,11,2015,"sf2"
"156",4,"Montenegro","knez","""Adio""","Montenegrin",9,57,2015,"sf2"
"157",5,"Malta","amber","""Warrior""","English",11,43,2015,"sf2"
"158",6,"Norway","morland & debrah scarlett","""A Monster Like Me""","English",4,123,2015,"sf2"
"159",7,"Portugal","leonor andrade","""Há um mar que nos separa""","Portuguese",14,19,2015,"sf2"
"160",8,"Czech Republic","marta jandova & vaclav noid barta","""Hope Never Dies""","English",13,33,2015,"sf2"
"161",9,"Israel","nadav guedj","""Golden Boy""","English",3,151,2015,"sf2"
"162",10,"Latvia","aminata","""Love Injected""","English",2,155,2015,"sf2"
"163",11,"Azerbaijan","elnur huseynov","""Hour of the Wolf""","English",10,53,2015,"sf2"
"164",12,"Iceland","maria olafs","""Unbroken""","English",15,14,2015,"sf2"
"165",13,"Sweden","mans zelmerlow","""Heroes""","English",1,217,2015,"sf2"
"166",14,"Switzerland","melanie rene","""Time to Shine""","English",17,4,2015,"sf2"
"167",15,"Cyprus","john karayiannis","""One Thing I Should Have Done""","English",6,87,2015,"sf2"
"168",16,"Slovenia","maraaya","""Here for You""","English",5,92,2015,"sf2"
"169",17,"Poland","monika kuszynska","""In the Name of Love""","English",8,57,2015,"sf2"
"170",1,"Finland","sandhja","""Sing It Away""","English",15,51,2016,"sf1"
"171",2,"Greece","argo","""Utopian Land""","English, Greek3",16,44,2016,"sf1"
"172",3,"Moldova","lidia isac","""Falling Stars""","English",17,33,2016,"sf1"
"173",4,"Hungary","freddie","""Pioneer""","English",4,197,2016,"sf1"
"174",5,"Croatia","nina kraljic","""Lighthouse""","English",10,133,2016,"sf1"
"175",6,"Netherlands","douwe bob","""Slow Down""","English",5,197,2016,"sf1"
"176",7,"Armenia","iveta mukuchyan","""LoveWave""","English",2,243,2016,"sf1"
"177",8,"San Marino","serhat","""I Didn't Know""","English",12,68,2016,"sf1"
"178",9,"Russia","sergey lazarev","""You Are the Only One""","English",1,342,2016,"sf1"
"179",10,"Czech Republic","gabriela guncikova","""I Stand""","English",9,161,2016,"sf1"
"180",11,"Cyprus","minus one","""Alter Ego""","English",8,164,2016,"sf1"
"181",12,"Austria","zoe","""Loin d'ici""","French",7,170,2016,"sf1"
"182",13,"Estonia","juri pootsmann","""Play""","English",18,24,2016,"sf1"
"183",14,"Azerbaijan","samra","""Miracle""","English",6,185,2016,"sf1"
"184",15,"Montenegro","highway","""The Real Thing""","English",13,60,2016,"sf1"
"185",16,"Iceland","greta salome","""Hear Them Calling""","English",14,51,2016,"sf1"
"186",17,"Bosnia and Herzegovina","dalal & deen feat. ana rucner & jala","""Ljubav je""","Bosnian",11,104,2016,"sf1"
"187",18,"Malta","ira losco","""Walk on Water""","English",3,209,2016,"sf1"
"188",1,"Latvia","justs","""Heartbeat""","English",8,132,2016,"sf2"
"189",2,"Poland","michal szpak","""Color of Your Life""","English",6,151,2016,"sf2"
"190",3,"Switzerland","rykka","""The Last of Our Kind""","English",18,28,2016,"sf2"
"191",4,"Israel","hovi star","""Made of Stars""","English",7,147,2016,"sf2"
"192",5,"Belarus","ivan","""Help You Fly""","English",12,84,2016,"sf2"
"193",6,"Serbia","sanja vucic zaa","""Goodbye (Shelter)""","English",10,105,2016,"sf2"
"194",7,"Ireland","nicky byrne","""Sunlight""","English",15,46,2016,"sf2"
"195",8,"Macedonia","kaliopi","""Dona"" (Дона)","Macedonian",11,88,2016,"sf2"
"196",9,"Lithuania","donny montell","""I've Been Waiting for This Night""","English",4,222,2016,"sf2"
"197",10,"Australia","dami im","""Sound of Silence""","English",1,330,2016,"sf2"
"198",11,"Slovenia","manuella","""Blue and Red""","English",14,57,2016,"sf2"
"199",12,"Bulgaria","poli genova","""If Love Was a Crime""","English, Bulgarian",5,220,2016,"sf2"
"200",13,"Denmark","lighthouse x","""Soldiers of Love""","English",17,34,2016,"sf2"
"201",14,"Ukraine","jamala","""1944""","English, Crimean Tatar",2,287,2016,"sf2"
"202",15,"Norway","agnete","""Icebreaker""","English",13,63,2016,"sf2"
"203",16,"Georgia","nika kocharov & young georgian lolitaz","""Midnight Gold""","English",9,123,2016,"sf2"
"204",17,"Albania","eneda tarifa","""Fairytale""","English",16,45,2016,"sf2"
"205",18,"Belgium","laura tesoro","""What's the Pressure""","English",3,274,2016,"sf2"
"206",1,"Sweden","robin bengtsson","""I Can't Go On""","English",3,227,2017,"sf1"
"207",2,"Georgia","tamara gachechiladze","""Keep the Faith""","English",11,99,2017,"sf1"
"208",3,"Australia","isaiah","""Don't Come Easy""","English",6,160,2017,"sf1"
"209",4,"Albania","lindita","""World""","English",14,76,2017,"sf1"
"210",5,"Belgium","blanche","""City Lights""","English",4,165,2017,"sf1"
"211",6,"Montenegro","slavko kalezic","""Space""","English",16,56,2017,"sf1"
"212",7,"Finland","norma john","""Blackbird""","English",12,92,2017,"sf1"
"213",8,"Azerbaijan","dihaj","""Skeletons""","English",8,150,2017,"sf1"
"214",9,"Portugal","salvador sobral","""Amar pelos dois""","Portuguese",1,370,2017,"sf1"
"215",10,"Greece","demy","""This Is Love""","English",10,115,2017,"sf1"
"216",11,"Poland","kasia mos","""Flashlight""","English",9,119,2017,"sf1"
"217",12,"Moldova","sunstroke project","""Hey, Mamma!""","English",2,291,2017,"sf1"
"218",13,"Iceland","svala","""Paper""","English",15,60,2017,"sf1"
"219",14,"Czech Republic","martina barta","""My Turn""","English",13,83,2017,"sf1"
"220",15,"Cyprus","hovig","""Gravity""","English",5,164,2017,"sf1"
"221",16,"Armenia","artsvik","""Fly with Me""","English",7,152,2017,"sf1"
"222",17,"Slovenia","omar naber","""On My Way""","English",17,36,2017,"sf1"
"223",18,"Latvia","triana park","""Line""","English",18,21,2017,"sf1"
"224",1,"Serbia","tijana bogicevic","""In Too Deep""","English",11,98,2017,"sf2"
"225",2,"Austria","nathan trent","""Running on Air""","English",7,147,2017,"sf2"
"226",3,"Macedonia","jana burceska","""Dance Alone""","English",15,69,2017,"sf2"
"227",4,"Malta","claudia faniello","""Breathlessly""","English",16,55,2017,"sf2"
"228",5,"Romania","ilinca ft. alex florea","""Yodel It!""","English",6,174,2017,"sf2"
"229",6,"Netherlands","o'g3ne","""Lights and Shadows""","English",4,200,2017,"sf2"
"230",7,"Hungary","joci papai","""Origo""","Hungarian",2,231,2017,"sf2"
"231",8,"Denmark","anja","""Where I Am""","English",10,101,2017,"sf2"
"232",9,"Ireland","brendan murray","""Dying to Try""","English",13,86,2017,"sf2"
"233",10,"San Marino","valentina monetta & jimmie wilson","""Spirit of the Night""","English",18,1,2017,"sf2"
"234",11,"Croatia","jacques houdek","""My Friend""","English, Italian",8,141,2017,"sf2"
"235",12,"Norway","jowst","""Grab the Moment""","English",5,189,2017,"sf2"
"236",13,"Switzerland","timebelle","""Apollo""","English",12,97,2017,"sf2"
"237",14,"Belarus","naviband","""Story of My Life""","Belarusian",9,110,2017,"sf2"
"238",15,"Bulgaria","kristian kostov","""Beautiful Mess""","English",1,403,2017,"sf2"
"239",16,"Lithuania","fusedmarc","""Rain of Revolution""","English",17,42,2017,"sf2"
"240",17,"Estonia","koit toome & laura","""Verona""","English",14,85,2017,"sf2"
"241",18,"Israel","imri","""I Feel Alive""","English",3,207,2017,"sf2"
"242",1,"Azerbaijan","aisel","""X My Heart""","English",11,94,2018,"sf1"
"243",2,"Iceland","ari olafsson","""Our Choice""","English",19,15,2018,"sf1"
"244",3,"Albania","eugent bushpepa","""Mall""","Albanian",8,162,2018,"sf1"
"245",4,"Belgium","sennek","""A Matter of Time""","English",12,91,2018,"sf1"
"246",5,"Czech Republic","mikolas josef","""Lie to Me""","English",3,232,2018,"sf1"
"247",6,"Lithuania","ieva zasimauskaite","""When We're Old""","English",9,119,2018,"sf1"
"248",7,"Israel","netta","""Toy""","English",1,283,2018,"sf1"
"249",8,"Belarus","alekseev","""Forever""","English",16,65,2018,"sf1"
"250",9,"Estonia","elina nechayeva","""La forza""","Italian",5,201,2018,"sf1"
"251",10,"Bulgaria","equinox","""Bones""","English",7,177,2018,"sf1"
"252",11,"Macedonia","eye cue","""Lost and Found""","English",18,24,2018,"sf1"
"253",12,"Croatia","franka","""Crazy""","English",17,63,2018,"sf1"
"254",13,"Austria","cesar sampson","""Nobody but You""","English",4,231,2018,"sf1"
"255",14,"Greece","yianna terzi","""Oniro mou"" (Όνειρό μου)","Greek",14,81,2018,"sf1"
"256",15,"Finland","saara aalto","""Monsters""","English",10,108,2018,"sf1"
"257",16,"Armenia","sevak khanagyan","""Qami"" (Քամի)","Armenian",15,79,2018,"sf1"
"258",17,"Switzerland","zibbz","""Stones""","English",13,86,2018,"sf1"
"259",18,"Ireland","ryan o'shaughnessy","""Together""","English",6,179,2018,"sf1"
"260",19,"Cyprus","eleni foureira","""Fuego""","English",2,262,2018,"sf1"
"261",1,"Norway","alexander rybak","""That's How You Write a Song""","English",1,266,2018,"sf2"
"262",2,"Romania","the humans","""Goodbye""","English",11,107,2018,"sf2"
"263",3,"Serbia","sanja ilic & balkanika","""Nova deca"" (Нова деца)","Serbian",9,117,2018,"sf2"
"264",4,"San Marino","jessika feat. jenifer brening","""Who We Are""","English",17,28,2018,"sf2"
"265",5,"Denmark","rasmussen","""Higher Ground""","English",5,204,2018,"sf2"
"266",6,"Russia","julia samoylova","""I Won't Break""","English",15,65,2018,"sf2"
"267",7,"Moldova","doredos","""My Lucky Day""","English",3,235,2018,"sf2"
"268",8,"Netherlands","waylon","""Outlaw in 'Em""","English",7,174,2018,"sf2"
"269",9,"Australia","jessica mauboy","""We Got Love""","English",4,212,2018,"sf2"
"270",10,"Georgia","ethno-jazz band iriao","""For You""","Georgian",18,24,2018,"sf2"
"271",11,"Poland","gromee feat. lukas meijer","""Light Me Up""","English",14,81,2018,"sf2"
"272",12,"Malta","christabelle","""Taboo""","English",13,101,2018,"sf2"
"273",13,"Hungary","aws","""Viszlát nyár""","Hungarian",10,111,2018,"sf2"
"274",14,"Latvia","laura rizzotto","""Funny Girl""","English",12,106,2018,"sf2"
"275",15,"Sweden","benjamin ingrosso","""Dance You Off""","English",2,254,2018,"sf2"
"276",16,"Montenegro","vanja radovanovic","""Inje"" (Иње)","Montenegrin",16,40,2018,"sf2"
"277",17,"Slovenia","lea sirk","""Hvala, ne!""","Slovene",8,132,2018,"sf2"
"278",18,"Ukraine","melovin","""Under the Ladder""","English",6,179,2018,"sf2"
"279",1,"Cyprus","tamta","""Replay""","English",9,149,2019,"sf1"
"280",2,"Montenegro","d mol","""Heaven""","English",16,46,2019,"sf1"
"281",3,"Finland","darude feat. sebastian rejman","""Look Away""","English",17,23,2019,"sf1"
"282",4,"Poland","tulia","""Fire of Love (Pali się)""","Polish, English",11,120,2019,"sf1"
"283",5,"Slovenia","zala kralj & gasper santl","""Sebi""","Slovene",6,167,2019,"sf1"
"284",6,"Czech Republic","lake malawi","""Friend of a Friend""","English",2,242,2019,"sf1"
"285",7,"Hungary","joci papai","""Az én apám""","Hungarian",12,97,2019,"sf1"
"286",8,"Belarus","zena","""Like It""","English",10,122,2019,"sf1"
"287",9,"Serbia","nevena bozovic","""Kruna"" (Круна)","Serbian",7,156,2019,"sf1"
"288",10,"Belgium","eliot","""Wake Up""","English",13,70,2019,"sf1"
"289",11,"Georgia","oto nemsadze","""Keep on Going""","Georgian",14,62,2019,"sf1"
"290",12,"Australia","kate miller-heidke","""Zero Gravity""","English",1,261,2019,"sf1"
"291",13,"Iceland","hatari","""Hatrið mun sigra""","Icelandic",3,221,2019,"sf1"
"292",14,"Estonia","victor crone","""Storm""","English",4,198,2019,"sf1"
"293",15,"Portugal","conan osiris","""Telemóveis""","Portuguese",15,51,2019,"sf1"
"294",16,"Greece","katerine duska","""Better Love""","English",5,185,2019,"sf1"
"295",17,"San Marino","serhat","""Say Na Na Na""","English",8,150,2019,"sf1"
"296",1,"Armenia","srbuk","""Walking Out""","English",16,49,2019,"sf2"
"297",2,"Ireland","sarah mcternan","""22""","English",18,16,2019,"sf2"
"298",3,"Moldova","anna odobescu","""Stay""","English",12,85,2019,"sf2"
"299",4,"Switzerland","luca hanni","""She Got Me""","English",4,232,2019,"sf2"
"300",5,"Latvia","carousel","""That Night""","English",15,50,2019,"sf2"
"301",6,"Romania","ester peony","""On a Sunday""","English",13,71,2019,"sf2"
"302",7,"Denmark","leonora","""Love Is Forever""","English, French",10,94,2019,"sf2"
"303",8,"Sweden","john lundvik","""Too Late for Love""","English",3,238,2019,"sf2"
"304",9,"Austria","paenda","""Limits""","English",17,21,2019,"sf2"
"305",10,"Croatia","roko","""The Dream""","English, Croatian",14,64,2019,"sf2"
"306",11,"Malta","michela","""Chameleon""","English",8,157,2019,"sf2"
"307",12,"Lithuania","jurij veklenko","""Run with the Lions""","English",11,93,2019,"sf2"
"308",13,"Russia","sergey lazarev","""Scream""","English",6,217,2019,"sf2"
"309",14,"Albania","jonida maliqi","""Ktheju tokës""","Albanian",9,96,2019,"sf2"
"310",15,"Norway","keiino","""Spirit in the Sky""","English",7,210,2019,"sf2"
"311",16,"Netherlands","duncan laurence","""Arcade""","English",1,280,2019,"sf2"
"312",17,"North Macedonia","tamara todevska","""Proud""","English",2,239,2019,"sf2"
"313",18,"Azerbaijan","chingiz","""Truth""","English",5,224,2019,"sf2"
"314",1,"Azerbaijan","safura","""Drip Drop""","English",5,145,2010,"f"
"315",2,"Spain","daniel diges","""Algo pequeñito""","Spanish",15,68,2010,"f"
"316",3,"Norway","didrik solli-tangen","""My Heart Is Yours""","English",20,35,2010,"f"
"317",4,"Moldova","sunstroke project & olia tira","""Run Away""","English",22,27,2010,"f"
"318",5,"Cyprus","jon lilygreen & the islanders","""Life Looks Better in Spring""","English",21,27,2010,"f"
"319",6,"Bosnia and Herzegovina","vukasin brajic","""Thunder and Lightning""","English",17,51,2010,"f"
"320",7,"Belgium","tom dice","""Me and My Guitar""","English",6,143,2010,"f"
