"","Year","Points.x","From","To","Jury","Draw","Artist","Song","Language","Place","Points.y","Type","track.album.name","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track.duration_ms","track.name","key_name","mode_name","track.album.release_date","repeat_artist","NPoints"
"8041",2018,5,"Ireland","Cyprus","T",19,"eleni foureira","""Fuego""","English",2,262,"sf1","Fuego",0.589,0.758,"B minor",-4.578,0,0.117,0.0648,0,0.606,0.589,101.037,183675,"Fuego","B","minor","2018-03-09",0,2.5
"8042",2018,5,"Ireland","Cyprus","T",25,"eleni foureira","""Fuego""","English",2,436,"f","Fuego",0.589,0.758,"B minor",-4.578,0,0.117,0.0648,0,0.606,0.589,101.037,183675,"Fuego","B","minor","2018-03-09",0,2.5
"8043",2018,7,"Ireland","Czech Republic","T",5,"mikolas josef","""Lie to Me""","English",3,232,"sf1","Lie to Me (ESC Version)",0.831,0.702,"F# minor",-6.448,0,0.123,0.00401,3.43e-06,0.359,0.639,106.013,171066,"Lie to Me - ESC Version","F#","minor","2018-04-13",0,3.5
"8044",2018,7,"Ireland","Czech Republic","T",14,"mikolas josef","""Lie to Me""","English",6,281,"f","Lie to Me (ESC Version)",0.831,0.702,"F# minor",-6.448,0,0.123,0.00401,3.43e-06,0.359,0.639,106.013,171066,"Lie to Me - ESC Version","F#","minor","2018-04-13",0,3.5
"8045",2018,2,"Ireland","Denmark","T",5,"rasmussen","""Higher Ground""","English",5,204,"sf2","Higher Ground",0.47,0.849,"B minor",-5.168,0,0.0448,0.0246,0,0.129,0.42,82.012,183183,"Higher Ground","B","minor","2018-02-11",0,1
"8046",2018,2,"Ireland","Denmark","T",15,"rasmussen","""Higher Ground""","English",9,226,"f","Higher Ground",0.47,0.849,"B minor",-5.168,0,0.0448,0.0246,0,0.129,0.42,82.012,183183,"Higher Ground","B","minor","2018-02-11",0,1
"8047",2018,4,"Ireland","Estonia","T",9,"elina nechayeva","""La forza""","Italian",5,201,"sf1","La Forza",0.232,0.597,"D minor",-8.256,0,0.0413,0.495,1.58e-06,0.269,0.262,93.903,184883,"La Forza","D","minor","2018-01-22",0,2
"8048",2018,4,"Ireland","Estonia","T",6,"elina nechayeva","""La forza""","Italian",8,245,"f","La Forza",0.232,0.597,"D minor",-8.256,0,0.0413,0.495,1.58e-06,0.269,0.262,93.903,184883,"La Forza","D","minor","2018-01-22",0,2
"8049",2018,8,"Ireland","Germany","T",11,"michael schulte","""You Let Me Walk Alone""","English",4,340,"f","You Let Me Walk Alone",0.322,0.278,"B major",-9.952,1,0.0317,0.783,0,0.103,0.425,149.004,177886,"You Let Me Walk Alone","B","major","2018-02-20",0,4
"8050",2018,6,"Ireland","Israel","T",7,"netta","""Toy""","English",1,283,"sf1","Toy (Music Video Version)",0.56,0.746,"D# minor",-5.384,0,0.111,0.1,0,0.321,0.743,130.037,180230,"Toy - Music Video Version","D#","minor","2018-03-15",0,3
"8051",2018,6,"Ireland","Israel","T",22,"netta","""Toy""","English",1,529,"f","Toy (Music Video Version)",0.56,0.746,"D# minor",-5.384,0,0.111,0.1,0,0.321,0.743,130.037,180230,"Toy - Music Video Version","D#","minor","2018-03-15",0,3
